file,source_sha256,row_id,row_number,status,role,evidence
fig03_cylindrical_chamber_profiles.csv,47caea0c0d041d0e4abd744fcacc3abccbacc2d555bf0f030ac794ffe4bc9e2d,fig03_cylindrical_chamber_profiles.csv:data:1,1,accepted,observation,canonical Fig3 JK deep
fig03_cylindrical_chamber_profiles.csv,47caea0c0d041d0e4abd744fcacc3abccbacc2d555bf0f030ac794ffe4bc9e2d,fig03_cylindrical_chamber_profiles.csv:data:2,2,accepted,observation,canonical Fig3 JK deep
fig03_cylindrical_chamber_profiles.csv,47caea0c0d041d0e4abd744fcacc3abccbacc2d555bf0f030ac794ffe4bc9e2d,fig03_cylindrical_chamber_profiles.csv:data:3,3,accepted,observation,canonical Fig3 JK deep
fig03_cylindrical_chamber_profiles.csv,47caea0c0d041d0e4abd744fcacc3abccbacc2d555bf0f030ac794ffe4bc9e2d,fig03_cylindrical_chamber_profiles.csv:data:4,4,accepted,observation,canonical Fig3 JK deep
fig03_cylindrical_chamber_profiles.csv,47caea0c0d041d0e4abd744fcacc3abccbacc2d555bf0f030ac794ffe4bc9e2d,fig03_cylindrical_chamber_profiles.csv:data:5,5,accepted,observation,canonical Fig3 JK deep
fig03_cylindrical_chamber_profiles.csv,47caea0c0d041d0e4abd744fcacc3abccbacc2d555bf0f030ac794ffe4bc9e2d,fig03_cylindrical_chamber_profiles.csv:data:6,6,accepted,observation,canonical Fig3 JK deep
fig03_cylindrical_chamber_profiles.csv,47caea0c0d041d0e4abd744fcacc3abccbacc2d555bf0f030ac794ffe4bc9e2d,fig03_cylindrical_chamber_profiles.csv:data:7,7,accepted,observation,canonical Fig3 JK deep
fig03_cylindrical_chamber_profiles.csv,47caea0c0d041d0e4abd744fcacc3abccbacc2d555bf0f030ac794ffe4bc9e2d,fig03_cylindrical_chamber_profiles.csv:data:8,8,accepted,observation,canonical Fig3 JK deep
fig03_cylindrical_chamber_profiles.csv,47caea0c0d041d0e4abd744fcacc3abccbacc2d555bf0f030ac794ffe4bc9e2d,fig03_cylindrical_chamber_profiles.csv:data:9,9,accepted,observation,canonical Fig3 JK deep
fig03_cylindrical_chamber_profiles.csv,47caea0c0d041d0e4abd744fcacc3abccbacc2d555bf0f030ac794ffe4bc9e2d,fig03_cylindrical_chamber_profiles.csv:data:10,10,accepted,observation,canonical Fig3 JK deep
fig03_cylindrical_chamber_profiles.csv,47caea0c0d041d0e4abd744fcacc3abccbacc2d555bf0f030ac794ffe4bc9e2d,fig03_cylindrical_chamber_profiles.csv:data:11,11,accepted,observation,canonical Fig3 JK deep
fig03_cylindrical_chamber_profiles.csv,47caea0c0d041d0e4abd744fcacc3abccbacc2d555bf0f030ac794ffe4bc9e2d,fig03_cylindrical_chamber_profiles.csv:data:12,12,accepted,observation,canonical Fig3 JK deep
