search_id,provider,query,result_rank,title,authors,year,doi_or_stable_id,result_url,retrieval_date,candidate_id,duplicate_of,screening_state
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,1,"Optimization of Methodology for Simultaneous Quantification of Trigonelline, 5Caffeoylquinic Acid, and Caffeine in Green and Roasted Coffee Extracts by HPLC",,,10.1021/acsomega.5c05526.s001,https://doi.org/10.1021/acsomega.5c05526.s001,2026-08-25,candidate_0001,,ATLAS_INCLUDED_METADATA_ONLY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,2,"Comparison of Extraction Methods for Caffeine, Chlorogenic Acids and Trigonelline in Green and Roasted Coffee Beans",Adriana S. Franca; Leandro S. Oliveira; Maria Lúcia A. Borges; Vany P. Ferraz,2001,10.13031/2013.7478,https://doi.org/10.13031/2013.7478,2026-08-25,candidate_0002,,ATLAS_INCLUDED_METADATA_ONLY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,3,"HPLC/diode-array applied to the thermal degradation of trigonelline, nicotinic acid and caffeine in coffee",S. Casal; M. Beatriz Oliveira; Margarida A. Ferreira,2000,10.1016/s0308-8146(99)00228-9,https://doi.org/10.1016/s0308-8146(99)00228-9,2026-08-25,candidate_0003,,ATLAS_INCLUDED_METADATA_ONLY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,4,Methods of test for coffee and coffee products,,,10.3403/00271775u,https://doi.org/10.3403/00271775u,2026-08-25,candidate_0004,,OUT_OF_SCOPE_NON_INVENTORY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,5,Methods of test for coffee and coffee products,,,10.3403/00271775,https://doi.org/10.3403/00271775,2026-08-25,candidate_0005,,OUT_OF_SCOPE_NON_INVENTORY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,6,"Discriminate Analysis of Roasted Coffee Varieties for Trigonelline, Nicotinic Acid, and Caffeine Content",S. Casal; M. B. P. P. Oliveira; M. R. Alves; M. A. Ferreira,2000,10.1021/jf990702b,https://doi.org/10.1021/jf990702b,2026-08-25,candidate_0006,,ATLAS_INCLUDED_METADATA_ONLY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,7,Food authenticity. Determination of 16-O-Methylcafestol content of green and roasted coffee. HPLC-method,,,10.3403/30478362u,https://doi.org/10.3403/30478362u,2026-08-25,candidate_0007,,OUT_OF_SCOPE_NON_INVENTORY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,8,Food authenticity. Determination of 16-O-Methylcafestol content of green and roasted coffee. HPLC-method,,,10.3403/30478362,https://doi.org/10.3403/30478362,2026-08-25,candidate_0008,,OUT_OF_SCOPE_NON_INVENTORY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,9,AOAC Official Method 2000.09Ochratoxin A in Roasted Coffee,,2023,10.1093/9780197610145.003.4005,https://doi.org/10.1093/9780197610145.003.4005,2026-08-25,candidate_0009,,OUT_OF_SCOPE_NON_INVENTORY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,10,Coffee and coffee products. Determination of the caffeine content using high performance liquid chromatography (HPLC). Reference method,,,10.3403/30154826,https://doi.org/10.3403/30154826,2026-08-25,candidate_0010,,ATLAS_INCLUDED_METADATA_ONLY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,11,Coffee and coffee products. Determination of the caffeine content using high performance liquid chromatography (HPLC). Reference method,,,10.3403/30154826u,https://doi.org/10.3403/30154826u,2026-08-25,candidate_0011,,ATLAS_INCLUDED_METADATA_ONLY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,12,Foodstuffs. Determination of ochratoxin A in barley and roasted coffee. HPLC method with immunoaffinity column clean-up,,,10.3403/30187771,https://doi.org/10.3403/30187771,2026-08-25,candidate_0012,,OUT_OF_SCOPE_NON_INVENTORY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,13,Foodstuffs. Determination of ochratoxin A in barley and roasted coffee. HPLC method with immunoaffinity column clean-up,,,10.3403/02817174,https://doi.org/10.3403/02817174,2026-08-25,candidate_0013,,OUT_OF_SCOPE_NON_INVENTORY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,14,Foodstuffs. Determination of ochratoxin A in barley and roasted coffee. HPLC method with immunoaffinity column clean-up,,,10.3403/02817174u,https://doi.org/10.3403/02817174u,2026-08-25,candidate_0014,,OUT_OF_SCOPE_NON_INVENTORY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,15,"Determination of Trigonelline, Nicotinic Acid, and Caffeine in Yunnan Arabica Coffee by Microwave-Assisted Extraction and HPLC with Two Columns in Series",Hongcheng Liu; Jinliang Shao; Qiwan Li; Yangang Li; Hong Mei Yan; Lizhong He,2012,10.5740/jaoacint.11-275,https://doi.org/10.5740/jaoacint.11-275,2026-08-25,candidate_0015,,ATLAS_INCLUDED_METADATA_ONLY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,16,Quantification of Caffeine and Chlorogenic Acid in Green and Roasted Coffee Samples Using HPLC-DAD and Evaluation of the Effect of Degree of Roasting on Their Levels,Shady Awwad; Reem Issa; Lilian Alnsour; Dima Albals; Idrees Al-Momani,2021,10.3390/molecules26247502,https://doi.org/10.3390/molecules26247502,2026-08-25,candidate_0016,,ATLAS_INCLUDED_METADATA_ONLY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,17,"Trigonelline, a naturally occurring constituent of green coffee beans behind the mutagenic activity of roasted coffee?",X Wu; K Skog; M Jägerstad,1997,10.1016/s1383-5718(97)00065-x,https://doi.org/10.1016/s1383-5718(97)00065-x,2026-08-25,candidate_0017,,ATLAS_INCLUDED_METADATA_ONLY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,18,"Development of an HPLC/Diode-Array Detector Method for Simultaneous Determination of Trigonelline, Nicotinic Acid, and Caffeine in Coffee",S. Casal; M. B. Oliveira; M. A. Ferreira,1998,10.1080/10826079808001267,https://doi.org/10.1080/10826079808001267,2026-08-25,candidate_0018,,ATLAS_INCLUDED_METADATA_ONLY
q01_crossref,Crossref,caffeine trigonelline roasted coffee HPLC,19,Caffeine Crystal Growth on Roasted Coffee Beans Misidentified as Biological Spoilage,Francisco Velazquez Escobar; Reem Alrushidan; Amer Ba Shuaib,2024,10.3390/icc2024-18171,https://doi.org/10.3390/icc2024-18171,2026-08-25,candidate_0019,,ATLAS_INCLUDED_METADATA_ONLY
